csa,eviction_count,total_pop,total_hh,total_residential_properties,total_residential_units,bnia_total_residential_props,total_rental_units,renter_hh,eviction_rate_per_1k_residents,eviction_rate_per_1k_households,eviction_rate_per_1k_renter_hh,eviction_rate_per_1k_rentals,unique_owners,ownership_concentration_pct,pct_black_non_hisp,pct_white_non_hisp,pct_hispanic,median_hh_income,pct_hh_income_under_25k,pct_family_hh_poverty,pct_children_poverty,pct_persons_snap,pct_families_tanf,unemployment_rate,pct_pop_16_64_unemployed,pct_owner_occupied,pct_vacant_abandoned,pct_cash_sales,pct_tax_lien_sales,affordability_idx_rent,housing_vouchers_per_1k,pct_low_mod_income_tract,pct_adult_pop_parole_probation
Allendale/Irvington/S. Hilton,62,16217.0,6098.0,5896,6918,5568.0,4028,2073.0,3.82,10.17,29.91,15.39,2446,30.1,88.16673861,8.324597644,1.288771043,33563.12,39.27,,,,,15.23331525,10.33784406,66.0,4.31,,,57.35865343,,,
Beechfield/Ten Hills/West Hills,48,12264.0,5076.0,3656,5510,3557.0,2937,878.0,3.91,9.46,54.67,16.34,812,52.1,78.86497065,16.78082192,1.590019569,50780.92,21.6,,,,,7.714721798,6.03757194,82.7,0.28,,,49.6369073,,,
Belair-Edison,42,17416.0,6174.0,6385,6574,6295.0,3100,2025.0,2.41,6.8,20.74,13.55,2267,6.0,86.89136426,9.93339458,1.223013321,42920.83,25.14,,,,,16.09248555,11.79561054,67.2,1.45,,,60.55936073,,,
Brooklyn/Curtis Bay/Hawkins Point,61,14243.0,5204.0,4412,5044,4283.0,3478,2581.0,4.28,11.72,23.63,17.54,1983,16.8,35.90535702,47.80593976,9.794284912,32888.5,52.52,,,,,11.92333786,8.061002179,50.4,3.74,,,48.62108047,,,
Canton,6,8100.0,4310.0,3824,4003,4013.0,1388,1297.0,0.74,1.39,4.63,4.32,1167,15.3,3.950617284,86.01234568,4.987654321,74685.14,13.69,,,,,3.423848878,3.044086774,69.9,0.92,,,40.6559878,,,
Cedonia/Frankford,219,23557.0,9348.0,6304,9475,6294.0,4992,1944.0,9.3,23.43,112.65,43.87,1662,30.3,78.53716517,15.05709556,1.973935561,38969.08,27.28,,,,,9.910423453,7.588701129,79.2,0.67,,,60.34901701,,,
Cherry Hill,50,8202.0,3145.0,985,2035,988.0,1654,1425.0,6.1,15.9,35.09,30.23,365,75.9,95.13533285,1.584979273,1.597171422,18602.22,59.29,,,,,26.25081222,16.3994317,54.7,3.44,,,51.32679026,,,
Chinquapin Park/Belvedere,24,7756.0,3359.0,2746,3349,2694.0,1582,873.0,3.09,7.14,27.49,15.17,839,36.7,68.96596184,23.1820526,3.713254255,44659.56,26.31,,,,,10.82450484,8.962623951,74.0,0.33,,,49.0797546,,,
Claremont/Armistead,86,8231.0,3419.0,2305,1566,725.0,1170,800.0,10.45,25.15,107.5,73.5,211,81.5,53.05552181,32.15891143,11.38379298,33236.03,39.67,,,,,9.662312053,6.714628297,76.6,0.0,,,50.12518778,,,
Clifton-Berea,25,9874.0,3529.0,4640,4849,4783.0,3552,2266.0,2.53,7.08,11.03,7.04,2706,10.6,96.30342313,1.053271217,1.033016002,26147.87,47.61,,,,,23.01842644,13.67506516,35.8,24.5,,,67.60176018,,,
Cross-Country/Cheswolde,137,13034.0,5341.0,2868,4953,2914.0,2720,833.0,10.51,25.65,164.47,50.37,530,68.9,20.35445757,72.14976216,2.247966856,56275.65,19.11,,,,,7.525839793,6.287101997,84.4,0.14,,,39.12710567,,,
Dickeyville/Franklintown,48,4101.0,1877.0,468,1917,333.0,1707,546.0,11.7,25.57,87.91,28.12,148,97.3,87.80785174,8.168739332,1.877590832,33707.0,38.01,,,,,11.31243879,8.44606947,70.9,1.5,,,53.57598978,,,
Dorchester/Ashburton,109,11786.0,4565.0,3590,4784,3421.0,2439,1205.0,9.25,23.88,90.46,44.69,1261,30.0,96.12251824,1.340573562,1.018157136,41474.06,26.24,,,,,11.36678201,7.75862069,73.6,3.3,,,62.75862069,,,
